type,image_path,label_path,volume,slice,id
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_28_slice_59_jpg.rf.9199e2140e4ee2dee67c35f0f33f4aef.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_28_slice_59_jpg.rf.9199e2140e4ee2dee67c35f0f33f4aef.txt,28,59,72a61b3039bfbc6db2c8cb9c41e2ab9b
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_248_slice_64_jpg.rf.caaa9f6c885ea76daac79de6a4dfe131.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_248_slice_64_jpg.rf.caaa9f6c885ea76daac79de6a4dfe131.txt,248,64,ce3879db812a354ffc3c9e8cecccd88a
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_323_slice_37_jpg.rf.979704f7ff8f8081797a94870f406b6e.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_323_slice_37_jpg.rf.979704f7ff8f8081797a94870f406b6e.txt,323,37,3ae679cc090433d7fc7da48566a35462
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_253_slice_62_jpg.rf.37fda2046f1e46697afd56ce916fefe8.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_253_slice_62_jpg.rf.37fda2046f1e46697afd56ce916fefe8.txt,253,62,e081a49635477e3c2c532da83336f907
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_277_slice_64_jpg.rf.11e48ad0e944dc79c29a219ecd77d9e9.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_277_slice_64_jpg.rf.11e48ad0e944dc79c29a219ecd77d9e9.txt,277,64,bc5fd5d94721e6128d70fa7279f3dad4
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_262_slice_64_jpg.rf.11ba8bbd7b0289187144321560b7738b.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_262_slice_64_jpg.rf.11ba8bbd7b0289187144321560b7738b.txt,262,64,d85e282a59f96467d14ed1ebe92b06c0
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_230_slice_116_jpg.rf.2feb4645c5c8268912b2f01e99c95934.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_230_slice_116_jpg.rf.2feb4645c5c8268912b2f01e99c95934.txt,230,116,78e3886c0bfbc3b08cee15659137c177
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_170_slice_41_jpg.rf.49a5603cd89c2a47be89b1735302cade.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_170_slice_41_jpg.rf.49a5603cd89c2a47be89b1735302cade.txt,170,41,d0657e146dd6a3c57d1a27f1ed0d61be
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_201_slice_65_jpg.rf.bbed9ef5fe3e01c7faba3f01698f1073.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_201_slice_65_jpg.rf.bbed9ef5fe3e01c7faba3f01698f1073.txt,201,65,f33c43faedb5cedad9040add0a8d9d28
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_85_slice_98_jpg.rf.9c18cd5440a4fe20d3cee5be681ada57.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_85_slice_98_jpg.rf.9c18cd5440a4fe20d3cee5be681ada57.txt,85,98,72bd74fc219b42c175eeb97381b13410
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_138_slice_87_jpg.rf.2cf71652ee0fd89b0edfedade9055ca2.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_138_slice_87_jpg.rf.2cf71652ee0fd89b0edfedade9055ca2.txt,138,87,0e3a7ad55d775ca319b15b1d9777ab24
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_76_slice_72_jpg.rf.32d7762756651426ad18d2dcce47c0b9.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_76_slice_72_jpg.rf.32d7762756651426ad18d2dcce47c0b9.txt,76,72,96752859fe017d7d43879b4896f0d366
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_71_slice_85_jpg.rf.f7254d88abbf15574df92b27f8fffc33.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_71_slice_85_jpg.rf.f7254d88abbf15574df92b27f8fffc33.txt,71,85,592be1b183ef6c187ab39bf3f8530255
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_74_slice_114_jpg.rf.5e712c89e72e85a3e422d099b67cd9aa.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_74_slice_114_jpg.rf.5e712c89e72e85a3e422d099b67cd9aa.txt,74,114,1f047d723c18330a7a38f7b514d9ca82
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_262_slice_88_jpg.rf.33db2425668273e683ec4f981a4f58e5.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_262_slice_88_jpg.rf.33db2425668273e683ec4f981a4f58e5.txt,262,88,e00c89c7695e559f21251fc2000cbabc
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_79_slice_112_jpg.rf.7520f9e943bb6130a85188959f9c2418.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_79_slice_112_jpg.rf.7520f9e943bb6130a85188959f9c2418.txt,79,112,a02eb3fc77d18e2977336a9de80da370
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_225_slice_72_jpg.rf.aa7101ce0b1f7ebaad58f25438e22b0f.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_225_slice_72_jpg.rf.aa7101ce0b1f7ebaad58f25438e22b0f.txt,225,72,b92994cf58a92ac0a953bd2e3e7d47e2
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_170_slice_36_jpg.rf.e4b471ad16c62960771d23a9efb0530e.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_170_slice_36_jpg.rf.e4b471ad16c62960771d23a9efb0530e.txt,170,36,10e2a2e11992cf909ee7a8f79eae23bf
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_102_slice_93_jpg.rf.047cd5774684b7b226defb4134c0248b.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_102_slice_93_jpg.rf.047cd5774684b7b226defb4134c0248b.txt,102,93,7e60aea82eadaeb03f333c77e0754e2f
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_205_slice_65_jpg.rf.3d69f4480eb78023d6d36d8e09867d12.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_205_slice_65_jpg.rf.3d69f4480eb78023d6d36d8e09867d12.txt,205,65,1a6205bdd5194163407cfd33760ee3cd
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_240_slice_100_jpg.rf.71d0d123ac8884f4f110770beebfb9ec.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_240_slice_100_jpg.rf.71d0d123ac8884f4f110770beebfb9ec.txt,240,100,3bf8ff02d93c13f63066d68bdf53e664
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_6_slice_101_jpg.rf.e2d733b94b52a2e2b8e2e7c64a8d7993.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_6_slice_101_jpg.rf.e2d733b94b52a2e2b8e2e7c64a8d7993.txt,6,101,e1796194efc2f452d2d0f5e1405ea283
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_47_slice_57_jpg.rf.2cb4a1da787da0ba6135cc9cf9b62f43.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_47_slice_57_jpg.rf.2cb4a1da787da0ba6135cc9cf9b62f43.txt,47,57,3a3ef20c2490ae0eb39707d09847c09d
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_356_slice_81_jpg.rf.14dcc711362e0379aafc7a9c38ac8450.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_356_slice_81_jpg.rf.14dcc711362e0379aafc7a9c38ac8450.txt,356,81,b8abe20fab5a894190cc45f7c0ce8254
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_110_slice_100_jpg.rf.f65f2e93162ee1fd1aa6f4e8151e0ab3.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_110_slice_100_jpg.rf.f65f2e93162ee1fd1aa6f4e8151e0ab3.txt,110,100,082d76e96ca971df58e8782414edadec
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_82_slice_68_jpg.rf.885551b469127695879095be120c043e.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_82_slice_68_jpg.rf.885551b469127695879095be120c043e.txt,82,68,dd10e45f9c897757e501ca4d46346ac7
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_185_slice_110_jpg.rf.5c5f2b474dd834f1b6cee759ee2fac6f.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_185_slice_110_jpg.rf.5c5f2b474dd834f1b6cee759ee2fac6f.txt,185,110,bac6344ac887aa81fbd22484dae9dc15
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_318_slice_66_jpg.rf.a4ce03e3597724502201a9d45d8b36d6.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_318_slice_66_jpg.rf.a4ce03e3597724502201a9d45d8b36d6.txt,318,66,6601db459dcd8e70fac160127eceb63d
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_87_slice_55_jpg.rf.e102d43a737de401f93668340bf3ebe5.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_87_slice_55_jpg.rf.e102d43a737de401f93668340bf3ebe5.txt,87,55,fb335affbe5662daca2e71643310b13f
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_299_slice_66_jpg.rf.c981455d7bab3fe9113e57a3c38f40c4.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_299_slice_66_jpg.rf.c981455d7bab3fe9113e57a3c38f40c4.txt,299,66,b1e2976222cdf36a51724fccba72800e
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_198_slice_50_jpg.rf.2b535d87bef869b2f1c6c75a3d3257a5.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_198_slice_50_jpg.rf.2b535d87bef869b2f1c6c75a3d3257a5.txt,198,50,8cc1acaa62826b596dd994db32b8723b
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_43_slice_75_jpg.rf.77fc3376a724bb4ba132641b14657db5.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_43_slice_75_jpg.rf.77fc3376a724bb4ba132641b14657db5.txt,43,75,801aad2e2a0bbc7ebc21814090280d6b
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_335_slice_47_jpg.rf.5c47290b9c0cdc0e0c629ab74938d6ce.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_335_slice_47_jpg.rf.5c47290b9c0cdc0e0c629ab74938d6ce.txt,335,47,eb4e4cd4212c6df9cb3ce4dfbdc37708
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_151_slice_76_jpg.rf.e7e7c90f7586450036f29db2f10ca1c9.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_151_slice_76_jpg.rf.e7e7c90f7586450036f29db2f10ca1c9.txt,151,76,337516691ee7bc29f14620d46e849342
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_273_slice_61_jpg.rf.4742abd028edf377f80def59f0c093ce.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_273_slice_61_jpg.rf.4742abd028edf377f80def59f0c093ce.txt,273,61,b07c395d6389a55eb48a8411932e9332
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_263_slice_108_jpg.rf.acc0bc0d498cf70ad558d1713aaa09e4.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_263_slice_108_jpg.rf.acc0bc0d498cf70ad558d1713aaa09e4.txt,263,108,fded70b3ea12213cd8ee18eafb73f4ba
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_136_slice_96_jpg.rf.469484008f29f205e33619b054edbf7d.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_136_slice_96_jpg.rf.469484008f29f205e33619b054edbf7d.txt,136,96,eab7de6dc4b669d2f330404adac31e35
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_336_slice_65_jpg.rf.1cee01a45b6bd5b000ea4b81acc9d80c.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_336_slice_65_jpg.rf.1cee01a45b6bd5b000ea4b81acc9d80c.txt,336,65,9ab792460936f1ae7bc5c5465abdef4f
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_106_slice_83_jpg.rf.48cd2db418d48f828e00e33fb70603c7.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_106_slice_83_jpg.rf.48cd2db418d48f828e00e33fb70603c7.txt,106,83,7d403f947690c7490bfabbca54bea71a
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_330_slice_86_jpg.rf.18805379d8402cb5f6497c690d2f1586.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_330_slice_86_jpg.rf.18805379d8402cb5f6497c690d2f1586.txt,330,86,55b9867e328e9da1b4a4f079c6959f7d
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_235_slice_64_jpg.rf.5e8d03e4f2e80a4a4903dc513b77da70.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_235_slice_64_jpg.rf.5e8d03e4f2e80a4a4903dc513b77da70.txt,235,64,5fbc3f90f37dcf6bd9766d17f70f841d
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_217_slice_27_jpg.rf.51fb3e9cdf38dab947a69cbdbdaac546.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_217_slice_27_jpg.rf.51fb3e9cdf38dab947a69cbdbdaac546.txt,217,27,b9a80ab36f9aef166b31dba65d824838
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_72_slice_122_jpg.rf.643cbdc953fd61b45f36c3abb552ac82.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_72_slice_122_jpg.rf.643cbdc953fd61b45f36c3abb552ac82.txt,72,122,533057a5de8b1a7e9de58bc84dd335dc
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_216_slice_63_jpg.rf.0cf4d5333c050cd56e4cb073a8c85e36.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_216_slice_63_jpg.rf.0cf4d5333c050cd56e4cb073a8c85e36.txt,216,63,87c037df7c6c34904da7c288515cb76b
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_15_slice_61_jpg.rf.34beb6b03d009c7f77b6de4d5cf2dcb5.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_15_slice_61_jpg.rf.34beb6b03d009c7f77b6de4d5cf2dcb5.txt,15,61,cb427fc2062bcf0dda715ec4351b75fc
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_75_slice_100_jpg.rf.19c7353c62c8d2e8955cb23124acd26f.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_75_slice_100_jpg.rf.19c7353c62c8d2e8955cb23124acd26f.txt,75,100,a42c8277ab785a199a2a5480bbad484a
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_218_slice_82_jpg.rf.dd2c4f8e0c8aac6e8fec96d751046fa2.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_218_slice_82_jpg.rf.dd2c4f8e0c8aac6e8fec96d751046fa2.txt,218,82,62c5da4bebc4e1bc5f896c19dfed6c5b
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_29_slice_109_jpg.rf.bf94b5487c6beb8080bb772d6ddb6c29.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_29_slice_109_jpg.rf.bf94b5487c6beb8080bb772d6ddb6c29.txt,29,109,2de0117c470cf155d5feba51a25d82ea
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_118_slice_97_jpg.rf.37b52853521533c2311d61ff7d336163.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_118_slice_97_jpg.rf.37b52853521533c2311d61ff7d336163.txt,118,97,bf11eeb1e01fed0e3e21a8640efb73a2
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_204_slice_72_jpg.rf.600966c136d80eb1db0e79641737c999.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_204_slice_72_jpg.rf.600966c136d80eb1db0e79641737c999.txt,204,72,104358026f47d489458303d843566f47
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_178_slice_72_jpg.rf.aa6c357ea4854d44a6d8137ba1557a02.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_178_slice_72_jpg.rf.aa6c357ea4854d44a6d8137ba1557a02.txt,178,72,ade0f27d674ea69bfc48fcd0821585e0
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_344_slice_64_jpg.rf.4c8d0fced2812c5e950c54db8c0ab7c4.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_344_slice_64_jpg.rf.4c8d0fced2812c5e950c54db8c0ab7c4.txt,344,64,1ffa306922ca003c336d2e75d7369cca
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_62_slice_77_jpg.rf.0237383a9bfe02e762753093709dd88b.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_62_slice_77_jpg.rf.0237383a9bfe02e762753093709dd88b.txt,62,77,1d3aa178172cc466a1963280e7a3e7b3
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_75_slice_123_jpg.rf.09b8e8338cc058f64a8586cc5511f552.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_75_slice_123_jpg.rf.09b8e8338cc058f64a8586cc5511f552.txt,75,123,3b09d2398956b6d1b4d9cb062f32d0e6
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_274_slice_75_jpg.rf.5a94aa90445244bf619547796bfe471f.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_274_slice_75_jpg.rf.5a94aa90445244bf619547796bfe471f.txt,274,75,1caaf5246aa76be42d543d2057afd107
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_36_slice_87_jpg.rf.a4185e2c003dac4ee9cbe889126d7863.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_36_slice_87_jpg.rf.a4185e2c003dac4ee9cbe889126d7863.txt,36,87,988d3d03cabc904b2fecfedc2f19c7db
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_27_slice_32_jpg.rf.7eb98f1fa171d5c5aa665ec76aeb7101.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_27_slice_32_jpg.rf.7eb98f1fa171d5c5aa665ec76aeb7101.txt,27,32,01e7a9e20b2b4536719a64b5b22b46b9
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_43_slice_69_jpg.rf.65ad0928991d9ecb06924db9f1a8f294.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_43_slice_69_jpg.rf.65ad0928991d9ecb06924db9f1a8f294.txt,43,69,8fc1c7b3d71bec467b4b905a9bf3c439
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_294_slice_34_jpg.rf.cca57715cd50a65d639dee1eb9547b5e.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_294_slice_34_jpg.rf.cca57715cd50a65d639dee1eb9547b5e.txt,294,34,172113f9795f47d994c8a34c97be14cc
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_273_slice_87_jpg.rf.c63022cef0e73182e3e734a8a42a0263.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_273_slice_87_jpg.rf.c63022cef0e73182e3e734a8a42a0263.txt,273,87,5dc616184607939b3ac1baa53d678d3c
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_150_slice_45_jpg.rf.7e68be9dacfe32a9ec14cedd1882a634.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_150_slice_45_jpg.rf.7e68be9dacfe32a9ec14cedd1882a634.txt,150,45,03364a6c9f84142f0ea8d9a334a5b911
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_358_slice_99_jpg.rf.4d9947e64808178c96a3f5a0451e4cd2.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_358_slice_99_jpg.rf.4d9947e64808178c96a3f5a0451e4cd2.txt,358,99,bef69fa53b6ee6242824cfb4a9916017
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_204_slice_56_jpg.rf.a724d9318550ac04cfaa89baef085b20.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_204_slice_56_jpg.rf.a724d9318550ac04cfaa89baef085b20.txt,204,56,ba1f12c8a57c7f01fff5ba792b6b889c
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_132_slice_67_jpg.rf.126d37f2a0fd256d289e0ecd5fe0b890.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_132_slice_67_jpg.rf.126d37f2a0fd256d289e0ecd5fe0b890.txt,132,67,00f51f37412715c1c8d013840a311ac4
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_149_slice_66_jpg.rf.ab882f078534031fb3d613c020b7a3ce.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_149_slice_66_jpg.rf.ab882f078534031fb3d613c020b7a3ce.txt,149,66,92e5af4d5ca0f40e49cc458807c3cc0b
train,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/images/volume_245_slice_62_jpg.rf.e84ccd833842c43c7aa94df479078e83.jpg,BrainTumorDetectionYolov9/BrainTumorDetectionYolov9/train/labels/volume_245_slice_62_jpg.rf.e84ccd833842c43c7aa94df479078e83.txt,245,62,406ebd3d7afef27da66edbda301dcbee
